"id","transactionId","date","amount","status","userId"
22,12345,"12/12/20",6786,"Approved",4
23,12345,"12/12/20",6786,"Rejected",4
24,12345,"12/12/20",6786,"Approved",4
25,12345,"12/12/20",6786,"Approved",4
26,12345,"12/12/20",6786,"Rejected",4
27,12345,"12/12/20",6786,"Approved",4
22,12345,"12/12/20",6786,"Approved",2
23,12345,"12/12/20",6786,"Rejected",2
24,12345,"12/12/20",6786,"Approved",2
25,12345,"12/12/20",6786,"Approved",2
26,12345,"12/12/20",6786,"Rejected",2
27,12345,"12/12/20",6786,"Approved",2
22,12345,"12/12/20",6786,"Approved",5
23,12345,"12/12/20",6786,"Rejected",5
24,12345,"12/12/20",6786,"Approved",5
25,12345,"12/12/20",6786,"Approved",5
26,12345,"12/12/20",6786,"Rejected",5
27,12345,"12/12/20",6786,"Approved",5
